>  Running time: 2022-04-27_17:52:25
>  A(9.99 39.94) B(14.55 39.93) 0
11.2685140846 39.9552231657 109 -3034.81944377
11.2802457936 39.9552978067 110 -2962.27421905
11.2919775281 39.9553712652 111 -2979.26890521
11.3037092875 39.9554435411 112 -2959.23481098
11.3154410715 39.9555146346 113 -2937.52693912
11.3271728797 39.9555845455 114 -2910.29116176
11.3389047117 39.955653274 115 -2920.19823239
11.3506365671 39.9557208198 116 -2927.07108015
11.3623684455 39.9557871832 117 -2938.46447169
11.3741003464 39.955852364 118 -2956.35154303
11.3858322695 39.9559163623 119 -2957.48524511
11.3975642143 39.955979178 120 -2937.32705945
11.4092961805 39.9560408111 121 -2916.52634978
11.4210281676 39.9561012617 122 -2952.48605699
11.4327601753 39.9561605298 123 -3048.4749092
11.4444922031 39.9562186152 124 -3087.50631759
11.4562242506 39.9562755181 125 -3127.69690825
11.4679563174 39.9563312384 126 -3169.03113774
11.4796884032 39.9563857761 127 -3198.65260682
11.4914205074 39.9564391313 128 -3219.69281488
11.5031526298 39.9564913038 129 -3229.19816514
11.5148847699 39.9565422938 130 -3264.0550954
11.5266169272 39.9565921012 131 -3339.10133711
11.5383491015 39.9566407259 132 -3347.01932524
11.5500812922 39.9566881681 133 -3333.71273979
11.561813499 39.9567344276 134 -3322.79622703
11.5735457215 39.9567795045 135 -3315.50168967
11.5852779592 39.9568233988 136 -3307.37304426
11.5970102118 39.9568661105 137 -3328.04009768
11.6087424788 39.9569076396 138 -3359.55741874
11.6204747599 39.956947986 139 -3358.30418953
11.6322070546 39.9569871499 140 -3357.50630076
11.6439393626 39.957025131 141 -3358.78612999
11.6556716834 39.9570619296 142 -3357.24483775
11.6674040166 39.9570975455 143 -3352.63149394
11.6791363619 39.9571319788 144 -3356.84618009
11.6908687187 39.9571652294 145 -3348.63623705
11.7026010868 39.9571972974 146 -3350.10735437
11.7143334656 39.9572281827 147 -3306.58585699
11.7260658548 39.9572578854 148 -3241.09911325
11.7377982541 39.9572864054 149 -3195.37774567
11.7495306629 39.9573137428 150 -3155.32541536
11.7612630809 39.9573398975 151 -3072.66692918
11.7729955077 39.9573648695 152 -2518.92299034
11.7847279428 39.9573886589 153 -2202.68255266
11.7964603859 39.9574112656 154 -2111.67640398
11.8081928365 39.9574326897 155 -2184.77670426
11.8199252943 39.9574529311 156 -2567.68449888
11.8316577589 39.9574719898 157 -2687.33134127
11.8433902297 39.9574898659 158 -2952.49816338
11.8551227066 39.9575065593 159 -3128.45043852
11.8668551889 39.95752207 160 -3295.60323428
11.8785876763 39.957536398 161 -3423.79571396
11.8903201685 39.9575495434 162 -3462.46137385
11.902052665 39.9575615061 163 -3459.51346401
11.9137851653 39.9575722861 164 -3468.07145796
11.9255176692 39.9575818835 165 -3478.78650372
11.9372501762 39.9575902981 166 -3488.84931646
11.9489826858 39.9575975301 167 -3498.03762592
11.9607151977 39.9576035794 168 -3506.50219497
11.9724477115 39.957608446 169 -3512.24078368
11.9841802268 39.95761213 170 -3518.21811266
11.9959127431 39.9576146312 171 -3529.28650987
12.0076452601 39.9576159498 172 -3532.36338754
12.0193777773 39.9576160857 173 -3524.22284178
12.0311102944 39.9576150389 174 -3515.18731388
12.0428428109 39.9576128095 175 -3512.60290354
12.0545753264 39.9576093974 176 -3508.32750272
12.0663078406 39.9576048025 177 -3464.36174499
12.078040353 39.957599025 178 -3335.18241882
12.0897728632 39.9575920649 179 -3196.70651504
12.1015053708 39.957583922 180 -3038.81904766
12.1132378754 39.9575745965 181 -3019.59617176
12.1249703766 39.9575640883 182 -3246.79532506
12.136702874 39.9575523974 183 -3357.82876331
12.1484353672 39.9575395238 184 -3351.96762291
12.1601678558 39.9575254676 185 -3382.1809821
12.1719003393 39.9575102287 186 -3400.77271284
12.1836328174 39.9574938071 187 -3426.99383575
12.1953652897 39.9574762028 188 -3616.96995218
12.2070977557 39.9574574159 189 -3626.49071377
12.2188302151 39.9574374463 190 -3634.28072176
12.2305626675 39.957416294 191 -3634.62535726
12.2422951123 39.9573939591 192 -3634.07658779
12.2540275493 39.9573704415 193 -3636.30805097
12.265759978 39.9573457413 194 -3634.11822614
12.2774923981 39.9573198584 195 -3626.97978197
12.2892248091 39.9572927928 196 -3629.31028139
12.3009572105 39.9572645446 197 -3629.13820432
12.3126896021 39.9572351137 198 -3626.02537072
12.3244219834 39.9572045002 199 -3621.92978875
12.3361543539 39.957172704 200 -3619.26114581
12.3478867134 39.9571397252 201 -3616.91693487
12.3596190613 39.9571055637 202 -3612.61155576
12.3713513974 39.9570702196 203 -3592.78438994
12.383083721 39.9570336928 204 -3583.00031515
12.394816032 39.9569959835 205 -3588.91644992
12.4065483298 39.9569570914 206 -3601.08305257
12.4182806141 39.9569170168 207 -3602.30702304
12.4300128844 39.9568757595 208 -3597.65247846
12.4417451403 39.9568333196 209 -3595.38954155
12.4534773815 39.9567896971 210 -3531.29261185
12.4652096075 39.956744892 211 -3474.78218955
12.4769418179 39.9566989042 212 -3455.85080586
12.4886740124 39.9566517339 213 -3449.85102186
12.5004061905 39.9566033809 214 -3410.46201706
12.5121383517 39.9565538453 215 -3409.77699523
12.5238704958 39.9565031271 216 -3409.69453732
12.5356026223 39.9564512264 217 -3392.3495547
12.5473347307 39.956398143 218 -3381.32675722
12.5590668208 39.9563438771 219 -3354.84398405
12.570798892 39.9562884285 220 -3268.24981023
12.582530944 39.9562317974 221 -2829.11131422
12.5942629764 39.9561739838 222 -2467.9479867
12.6059949887 39.9561149875 223 -2087.0392031
12.6177269806 39.9560548087 224 -2049.36094648
12.6294589516 39.9559934473 225 -2065.63521121
12.6411909014 39.9559309034 226 -2134.49697885
12.6529228295 39.9558671769 227 -2434.02856791
12.6646547355 39.9558022679 228 -2812.0458011
12.6763866191 39.9557361763 229 -3098.74412114
12.6881184798 39.9556689022 230 -3276.21818504
12.6998503172 39.9556004455 231 -3473.31072822
12.7115821309 39.9555308064 232 -3606.85173532
12.7233139206 39.9554599847 233 -3592.88157066
12.7350456857 39.9553879805 234 -3599.72058526
12.7467774259 39.9553147938 235 -3593.23749709
12.7585091408 39.9552404245 236 -3600.80878409
12.77024083 39.9551648728 237 -3606.06817567
12.7819724931 39.9550881386 238 -3597.32260191
12.7937041296 39.9550102219 239 -3597.92992712
12.8054357392 39.9549311227 240 -3597.06203714
12.8171673215 39.9548508411 241 -3596.28928264
12.828898876 39.954769377 242 -3594.6968161
12.8406304024 39.9546867304 243 -3591.79605091
12.8523619002 39.9546029013 244 -3589.01194632
12.864093369 39.9545178898 245 -3587.1000262
12.8758248085 39.9544316959 246 -3588.0185304
12.8875562182 39.9543443195 247 -3591.25293143
12.8992875978 39.9542557607 248 -3595.97741684
12.9110189467 39.9541660195 249 -3594.73911494
12.9227502647 39.9540750959 250 -3592.75259956
12.9344815513 39.9539829898 251 -3591.42515892
12.946212806 39.9538897013 252 -3593.30993682
12.9579440286 39.9537952305 253 -3593.03847701
12.9696752186 39.9536995773 254 -3597.1763853
12.9814063755 39.9536027416 255 -3597.20421588
12.993137499 39.9535047236 256 -3598.658818
13.0048685887 39.9534055233 257 -3580.53740619
13.0165996442 39.9533051406 258 -3333.47351708
13.028330665 39.9532035755 259 -2918.62206583
13.0400616508 39.9531008281 260 -3026.84412472
13.0517926011 39.9529968983 261 -3210.06030905
