>  Running time: 2022-04-27_18:04:38
>  A(17.24 41.00) B(19.35 43.50) 0
18.9196799475 43.0092138348 263 1165.99154753
18.9262732523 43.0168056429 264 1064.82963474
18.9328681876 43.0243970725 265 838.504732394
18.9394647541 43.0319881233 266 1174.22435631
18.9460629526 43.0395787952 267 1392.32191929
18.9526627838 43.0471690879 268 1630.57767392
18.9592642485 43.0547590014 269 1729.28440105
18.9658673474 43.0623485353 270 1766.62824252
18.9724720813 43.0699376895 271 1817.71771151
18.979078451 43.0775264638 272 1647.18270164
18.9856864571 43.085114858 273 1658.60230707
18.9922961006 43.0927028718 274 1682.03004181
18.9989073821 43.1002905052 275 1981.39301834
19.0055203023 43.1078777579 276 1790.47410676
19.0121348621 43.1154646298 277 1954.18902085
19.0187510622 43.1230511205 278 1949.57096657
19.0253689034 43.13063723 279 1879.37653072
19.0319883864 43.138222958 280 2089.66953443
19.038609512 43.1458083043 281 2016.05241211
19.0452322809 43.1533932687 282 2015.91878587
19.0518566939 43.1609778511 283 2060.9661224
19.0584827518 43.1685620513 284 1969.30002436
19.0651104553 43.176145869 285 1754.98627856
19.0717398053 43.183729304 286 1858.10689155
19.0783708023 43.1913123562 287 1375.65640191
19.0850034473 43.1988950254 288 1136.49951612
19.091637741 43.2064773113 289 1110.20505531
19.0982736841 43.2140592137 290 837.504958587
19.1049112775 43.2216407326 291 811.419639969
19.1115505218 43.2292218676 292 1400.16047316
19.1181914178 43.2368026186 293 1359.25951708
19.1248339664 43.2443829854 294 1188.10183439
19.1314781682 43.2519629677 295 1349.05776381
19.1381240241 43.2595425654 296 1419.86817426
19.1447715347 43.2671217783 297 1327.69715872
19.151420701 43.2747006062 298 1700.90767613
19.1580715235 43.2822790489 299 1646.52260513
19.1647240032 43.2898571061 300 1699.0184194
19.1713781408 43.2974347778 301 1589.72884077
19.1780339369 43.3050120636 302 1314.51636759
19.1846913925 43.3125889635 303 1180.47881548
19.1913505083 43.3201654771 304 1171.19363536
19.198011285 43.3277416043 305 1088.39805915
19.2046737235 43.3353173449 306 1052.34395622
19.2113378244 43.3428926987 307 1032.16923506
19.2180035886 43.3504676656 308 953.758835055
19.2246710168 43.3580422452 309 895.280469624
19.2313401098 43.3656164374 310 874.026731256
19.2380108684 43.373190242 311 723.022186678
19.2446832934 43.3807636588 312 886.140187192
19.2513573854 43.3883366877 313 801.997163043
19.2580331453 43.3959093283 314 866.055197928
19.2647105739 43.4034815805 315 981.248376801
19.271389672 43.4110534442 316 988.437985478
19.2780704402 43.418624919 317 1036.28379775
19.2847528794 43.4261960048 318 1106.99744796
19.2914369904 43.4337667015 319 1159.03093914
19.2981227739 43.4413370087 320 1319.55224993
19.3048102307 43.4489069264 321 1048.15873086
19.3114993617 43.4564764542 322 788.548655311
19.3181901674 43.464045592 323 728.551994567
19.3248826488 43.4716143397 324 794.362554939
19.3315768066 43.4791826969 325 645.561086036
19.3382726416 43.4867506636 326 812.938336209
19.3449701546 43.4943182394 327 732.816485041
19.35 43.5 327.751 684
>  A(19.35 43.50) B(21.74 43.49) 327
19.35 43.5 327 684
19.3623975783 43.5000765787 328 743.371633163
19.3747951878 43.500151818 329 948.604110787
19.387192828 43.5002257179 330 1030.41296727
19.3995904982 43.5002982782 331 1010.72481532
19.4119881979 43.5003694991 332 737.77088265
